Domain;State fluent;Mean (Base);Mean (Fluent);Variance;Range
HVAC;occupied_false;-112634.45;-0.030012015;0.0;112634.42
HVAC;occupied_true;-112634.45;-112634.44;9.1552734e-05;0.015625
HVAC;tempzone;-112634.45;-2400.0288;0.0;110234.42
UAV;pos-x;-1716.6936;-1399.2883;0.078425735;317.40527
UAV;pos-y;-1716.6936;-1398.7312;0.008847101;317.9624
UAV;pos-z;-1716.6936;-1402.0519;0.0035238906;314.64172
