Domain;State fluent;Mean (Base);Mean (Fluent);Variance;Range
HVAC;occupied;-112634.45;-112634.45;0.00048522948;0.0
HVAC;tempzone;-112634.45;-2400.0286;5.9604645e-08;110234.42
UAV;pos-x;-1716.6975;-1401.0518;18.60616;315.64575
UAV;pos-y;-1716.6975;-1398.6595;0.023453077;318.03796
UAV;pos-z;-1716.6975;-1402.0576;0.008308833;314.6399
